Hypernym	Hyponym
 חֶדֶר 	 חֲדַר-יְשִׁיבוֹת 
 חֶדֶר 	 חֲדַר-בַּקָּרָה 
 חֶדֶר 	 אוּלָם-בֵּית-הַמִּשְׁפָּט 
 חֶדֶר 	 חֲדַר-מְנוֹעִים 
 חֶדֶר 	 אוּלָם 
 חֶדֶר 	 מִטְבָּח 
 מָלוֹן בֵּית-מָלוֹן 	 אַכְסַנְיָה אַכְסַנְיַת-נֹעַר 
 !מְצָד !מָעֹז 	 !מְצוּדָה 
 !דִּירָה 	 דִּירַת-סְטוּדְיוֹ 
 בֵּית-מְגוּרִים 	 בַּיִת 
 אֹהֶל 	 בִּיתָן 
 כְּנִיסָה פֶּתַח 	 !כְּנִיסָה 
 כְּנִיסָה פֶּתַח 	 !כְּנִיסָה 
 !נֶתַח 	 צָלִי 
 תַּחְפֹּשֶׂת 	 !תַּחְפֹּשֶׂת 
 צָעִיף 	 מִטְפַּחַת 
 אֶבֶן-חֵן אֶבֶן-יְקָרָה אֶבֶן-טוֹבָה אֶבֶן 	 פְּנִינָה 
 מוֹשָׁב 	 כִּסֵּא 
 מוֹשָׁב 	 סַפָּה 
 !טִיל 	 חֵץ 
 אָרוֹן 	 !כַּסֶּפֶת 
 מְדִינָה אֶרֶץ 	 מְכוֹרָה מוֹלֶדֶת אֶרֶץ-מוֹלֶדֶת אֶרֶץ-אָבוֹת אֶרֶץ-מוֹצָא 
 מְדִינָה אֶרֶץ 	 יִשְׂרָאֵל מְדִינַת-יִשְׂרָאֵל צִיּוֹן אֶרֶץ-יִשְׂרָאֵל 
 מִטְפַּחַת 	 מִטְפַּחַת-רֹאשׁ 
 אוֹפַנּוֹעַ 	 קַטְנוֹעַ 
 עֲגָלָה 	 מְרִיצָה 
 כִּסֵּא 	 כֻּרְסָה 
